path_id,t,S,VS,delta_S,delta_V,gain_S,gain_V,tc,cum_pnl
2,16,88.1228,20.3565,0.2675,-0.1262,1.4254,0.1226,0.0000,3.5987
2,17,92.7218,14.9307,0.4444,0.1817,-1.5251,-1.2216,0.0001,0.8519
2,18,87.0203,24.6084,0.1297,-0.3650,0.5169,0.1246,0.0003,1.4932
2,19,88.1836,25.2944,0.1000,-0.2510,0.1640,0.0229,0.0000,1.6800
2,20,89.4473,25.2316,0.1036,-0.2826,0.0246,-0.6843,0.0000,1.0204
2,21,89.6937,27.9575,0.0288,-0.3712,0.0683,-0.4112,0.0001,0.6774
2,22,90.3524,29.4130,-0.0140,-0.4041,-0.0526,0.4598,0.0000,1.0846
2,23,88.5235,28.1743,-0.0007,-0.3572,0.0500,-1.8168,0.0000,-0.6823
2,24,84.9589,32.6702,-0.1442,-0.5470,-0.0023,1.0947,0.0001,0.4100
2,25,88.1589,29.6054,-0.0579,-0.3835,0.4995,-0.4901,0.0001,0.4193
2,26,84.6946,30.5014,-0.1003,-0.4573,0.4697,-3.6880,0.0000,-2.7991
2,27,76.5776,40.1169,-0.3712,-0.7978,0.6182,1.2995,0.0002,-0.8816
2,28,70.4139,37.2753,-0.3486,-0.6235,-1.6616,9.0747,0.0001,6.5314
2,29,74.8906,25.9011,-0.0676,-0.2687,-1.5156,4.5621,0.0002,9.5776
3,0,100.0000,13.3333,0.5460,0.3838,0.0000,0.0000,0.0002,-0.0002
3,1,101.7046,13.6068,0.5925,0.4400,2.2220,-1.5197,0.0000,0.7022
3,2,105.7745,9.6474,0.7466,0.8686,2.6288,-0.7447,0.0001,2.5862
3,3,110.2114,7.9548,0.8734,1.2625,3.8763,-1.7628,0.0001,4.6996
3,4,115.4034,5.9254,1.0268,1.7129,0.3119,1.7611,0.0001,6.7725
3,5,115.7605,7.3203,1.0290,1.7698,0.6230,1.1408,0.0000,8.5363
3,6,116.3672,7.9863,1.0050,1.6994,1.5383,-0.4096,0.0000,9.6650
3,7,117.8621,7.7548,1.0099,1.6783,-2.3487,5.3336,0.0000,12.6498
3,8,115.5250,10.8933,0.8346,1.2096,3.5615,4.2506,0.0001,20.4619
3,9,119.0518,13.4260,0.6829,0.6510,0.3037,0.4777,0.0001,21.2432
3,10,119.4157,13.8210,0.6599,0.4820,-1.5628,0.3657,0.0000,20.0461
3,11,117.1274,14.3827,0.6363,0.4217,-1.7333,-1.6304,0.0000,16.6824
3,12,114.5008,11.0001,0.7264,0.6412,-0.0655,1.6435,0.0001,18.2604
3,13,114.3979,14.8977,0.6041,0.3581,-0.7347,1.2817,0.0001,18.8073
3,14,113.3865,16.8968,0.5265,0.1934,2.4321,0.6075,0.0001,21.8469
3,15,117.4122,18.5932,0.4957,0.1054,-2.7755,1.3667,0.0000,20.4380
3,16,112.1407,25.6590,0.2532,-0.3076,0.4774,-0.9237,0.0002,19.9915
3,17,113.1037,16.8933,0.4875,0.1830,0.7595,-0.0135,0.0002,20.7373
3,18,116.1034,16.9372,0.5236,0.1690,-0.7286,-0.2101,0.0000,19.7986
3,19,114.6088,15.7893,0.5587,0.2425,-0.6729,-0.1395,0.0000,18.9862
3,20,113.3236,14.9637,0.5820,0.2994,-2.1952,0.8724,0.0000,17.6633
3,21,109.3945,18.5609,0.4362,0.0311,-0.8213,-0.1406,0.0001,16.7013
3,22,107.9832,18.0912,0.4218,0.0565,-0.1396,0.0738,0.0000,16.6355
3,23,107.6631,20.4617,0.3434,-0.0769,2.6497,-0.2595,0.0001,19.0257
3,24,113.9448,15.8711,0.5113,0.2041,1.0675,-0.0890,0.0001,20.0041
3,25,117.0538,17.0288,0.5137,0.1511,-0.8567,-0.2845,0.0000,18.8629
3,26,115.3781,15.6346,0.5466,0.2404,-2.9982,1.0388,0.0000,16.9034
3,27,109.5413,22.5111,0.2784,-0.2028,3.0621,0.4350,0.0002,20.4003
3,28,115.1430,24.3208,0.2358,-0.1910,-0.8435,0.0810,0.0000,19.6378
3,29,112.1129,23.9215,0.2233,-0.1902,-1.3502,-0.3888,0.0000,17.8988
4,0,100.0000,13.3333,0.5460,0.3838,0.0000,-0.0000,0.0002,-0.0002
4,1,101.1437,8.5096,0.7628,0.9630,1.0179,0.0326,0.0001,1.0502
4,2,103.0081,8.5946,0.8200,1.2124,0.6097,0.3649,0.0000,2.0248
4,3,103.8073,8.9735,0.8228,1.2626,0.5397,1.2558,0.0000,3.8203
4,4,104.4655,10.0093,0.7777,1.1304,-4.6290,3.9964,0.0000,3.1877
4,5,98.8396,13.1746,0.5898,0.5943,4.1972,-6.1116,0.0001,1.2732
4,6,104.2362,7.7681,0.8097,1.0507,1.2663,-0.7337,0.0001,1.8057
4,7,106.3832,6.5334,0.9291,1.4333,-2.0480,1.9136,0.0001,1.6712
4,8,103.8539,8.3546,0.8671,1.3539,1.7298,-2.1086,0.0000,1.2924
