K,moneyness,cvar_delta,cvar_stock,cvar_vs,imp_stock,imp_vs,vs_over_stock
85,0.85,-25.757369995117188,-28.787756546020507,-23.799746101379395,-3.0303865509033194,1.957623893737793,4.988010444641112
90,0.9,-21.99738311767578,-24.117602043151855,-20.55753160095215,-2.120218925476074,1.4398515167236319,3.560070442199706
95,0.95,-18.468074798583984,-21.327732009887697,-17.509235355377196,-2.8596572113037126,0.9588394432067879,3.8184966545105006
100,1.0,-15.213162422180176,-19.199282432556153,-14.785003704071045,-3.986120010375977,0.4281587181091311,4.414278728485108
105,1.05,-12.41887378692627,-17.38926197052002,-11.959574947357178,-4.970388183593752,0.459298839569092,5.429687023162844
110,1.1,-9.945120811462402,-15.348149417877197,-9.43693228149414,-5.403028606414795,0.5081885299682618,5.911217136383057
